city,state,year,lat,lng
Chicago,IL,2018,41.892294, -87.630397
Jacksonville,FL,2017,30.302627, -81.651222
Denver, CO,2016,39.732314, -104.980366
Atlanta, GA,2015,39.2903848,-76.6121893
Baltimore, MD,2014,39.2903848,-76.6121893
Louisville, KY,2013,38.2526647,-85.7584557
St Louis, MO,2012,38.6270025,-90.1994042
Raleigh, NC,2011,35.7795897,-78.6381787
Phoenix, AZ,2010,33.4483771,-112.0740373
Indianapolis, IN,2009,39.768403,-86.158068
Houston, Texas,2008,29.7601927,-95.3693896
Cleveland, OH,2007,41.4994954,-81.6954088
Newark, N.J.,2006,40.735657,-74.1723667
Hollywood, Calif.,2005,34.0928092,-118.3286614
Cincinnati, Ohio,2004,39.1031182,-84.5120196
Charlotte, N.C.,2003,39.952335,-75.163789
Philadelphia, Pa.,2002,39.952335,-75.163789
Lexington, Ky.,2000,38.0405837,-84.5037164
Boston, Mass.,1999,42.3584308,-71.0597732
Indianapolis, Ind.,1998,39.768403,-86.158068
Nashville, Tenn.,1997,36.1666667,-86.7833333
Cleveland, Ohio,1995,41.4994954,-81.6954088
San Jose, Calif.,1994,37.3393857,-121.8949555
Raleigh, N.C.,1993,35.7795897,-78.6381787
